No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
2991,niwaniššinimin,We (excl.) are lost,1p AI Independent Indicative,We are lost
2992,nimiiciminaapan,we (excl.) ate it,1p→0s TI3 Independent Preterit,we ate it
2993,nimaacaaminaapan,we (excl.) left,1p AI Independent Preterit,we left
2994,niniimiminaapan,we (excl.) danced,1p AI Independent Preterit,we danced
2995,niwaniššiniminaapan,we (excl.) were lost,1p AI Independent Preterit,we were lost
2996,nimiiciminaapanen,we (excl.) ate them (inan.),1p→0p TI3 Independent Preterit,we ate them(plur.)
2997,nimiiciminaatok,we (excl.) must be eating it,1p→0s TI3 Independent Dubitative,we must be eating it
2998,nimaacaaminaatok,we (excl.) must be leaving,1p AI Independent Dubitative,we must be leaving
2999,niniimiminaatok,we (excl.) must be dancing,1p AI Independent Dubitative,we must be dancing
3000,niwaniššiniminaatok,we (excl.) must be lost,1p AI Independent Dubitative,we must be lost
3001,nimiiciminaatokenan,we (excl.) must be eating them (inan.),1p→0p TI3 Independent Dubitative,we must be eating them(plur.)
3002,nimiicin,I eat it,1s→0s TI3 Independent Indicative,I eat it
3003,nimiicinaapan,I ate it,1s→0s TI3 Independent Preterit,I ate it
3004,nimaacaanaapan,I left,1s AI Independent Preterit,I left
3005,niniiminaapan,I danced,1s AI Independent Preterit,I danced
3006,niwaniššininaapan,I was lost,1s AI Independent Preterit,I was lost
3007,nimiicinaapanen,I ate them (inan.),1s→0p TI3 Independent Preterit,I ate them(plur.)
3008,nimiicinaatok,I must be eating it,1s→0s TI3 Independent Dubitative,I must be eating it
3009,nimaacaanaatok,I must be leaving,1s AI Independent Dubitative,I must be leaving
3010,niniiminaatok,I must be dancing,1s AI Independent Dubitative,I must be dancing
3011,niwaniššininaatok,I must be lost,1s AI Independent Dubitative,I must be lost
3012,nimiicinaatokenan,I must be eating them (inan.),1s→0p TI3 Independent Dubitative,I must be eating them(plur.)
3013,nimiicinan,I eat them (inan.),1s→0p TI3 Independent Indicative,I eat them(plur.)
3014,niwanittoomin,"we (excl.) lose it, them (inan.)",1p→0 TI2 Independent Indicative,we lose it
3015,niwanittoomin,"we (excl.) lose it, them (inan.)",1p→0 TI2 Independent Indicative,we lose them(plur.)
3016,niwanittoominaapan,we (excl.) lost it,1p→0s TI2 Independent Preterit,we lost it
3017,niwanittoominaapanen,we (excl.) lost them (inan.),1p→0p TI2 Independent Preterit,we lost them(plur.)
3018,niwanittoominaatok,we (excl.) must be losing it,1p→0s TI2 Independent Dubitative,we must be losing it
3019,niwanittoon,I lose it,1s→0s TI2 Independent Indicative,I lose it
3020,niwanittoonaapan,I lost it,1s→0s TI2 Independent Preterit,I lost it
3021,niwanittoonaapanen,I lost them (inan.),1s→0p TI2 Independent Preterit,I lost them(plur.)
3022,niwanittoonaatok,I must be losing it,1s→0s TI2 Independent Dubitative,I must be losing it
3023,niwanittoonaatokenan,I must be losing them (inan.),1s→0p TI2 Independent Dubitative,I must be losing them(plur.)
3024,niwanittoonan,I lose them (inan.),1s→0p TI2 Independent Indicative,I lose them(plur.)
3025,niwanittoossiimin,"we (excl.) do not lose it, them (inan.)",1p→0 TI2 Independent Indicative,we do not lose it
3026,niwanittoossiimin,"we (excl.) do not lose it, them (inan.)",1p→0 TI2 Independent Indicative,we do not lose them(plur.)
3027,niwanittoossiiminaapan,we (excl.) did not lose it,1p→0s TI2 Independent Preterit,we did not lose it
3028,niwanittoossiiminaapanen,we (excl.) did not lose them (inan.),1p→0p TI2 Independent Preterit,we did not lose them(plur.)
3029,niwanittoossiiminaatok,we (excl.) must not be losing it,1p→0s TI2 Independent Dubitative,we must not be losing it
3030,niwanittoossiiminaatokenan,we (excl.) must not be losing them (inan.),1p→0p TI2 Independent Dubitative,we must not be losing them(plur.)
3031,niwanittoossiin,I do not lose it,1s→0s TI2 Independent Indicative,I do not lose it
3032,niwanittoossiinaapan,I did not lose it,1s→0s TI2 Independent Preterit,I did not lose it
3033,niwanittoossiinaapanen,I did not lose them (inan.),1s→0p TI2 Independent Preterit,I did not lose them(plur.)
3034,niwanittoossiinaatok,I must not be losing it,1s→0s TI2 Independent Dubitative,I must not be losing it
3035,niwanittoossiinaatokenan,I must not be losing them (inan.),1s→0p TI2 Independent Dubitative,I must not be losing them(plur.)
3036,niwanittoossiinan,I do not lose them (inan.),1s→0p TI2 Independent Indicative,I do not lose them(plur.)
3037,nimiicissiimin,"we (excl.) do not eat it, them (inan.)",1p→0 TI3 Independent Indicative,we do not eat it
3038,nimiicissiimin,"we (excl.) do not eat it, them (inan.)",1p→0 TI3 Independent Indicative,we do not eat them(plur.)
3039,nimaacaassiimin,we (excl.) do not leave,1p AI Independent Indicative,we do not leave
3040,niniimissiimin,we (excl.) do not dance,1p AI Independent Indicative,we do not dance
3041,niwaniššinsiimin,we (excl.) are not lost,1p AI Independent Indicative,we are not lost
3042,nimaacaassiiminaapan,we (excl.) did not leave,1p AI Independent Preterit,we did not leave
3043,niwaniššinsiiminaapan,we (excl.) were not lost,1p AI Independent Preterit,we were not lost
3044,nimiicissiiminaatok,we (excl.) must not be eating it,1p→0s TI3 Independent Dubitative,we must not be eating it
3045,nimiicissiiminaatokenan,we (excl.) must not be eating them (inan.),1p→0p TI3 Independent Dubitative,we must not be eating them(plur.)
3046,nimiicissiin,I do not eat it,1s→0s TI3 Independent Indicative,I do not eat it
3047,nimaacaassiin,I do not leave,1s AI Independent Indicative,I do not leave
3048,niniimissiin,I do not dance,1s AI Independent Indicative,I do not dance
3049,niwaniššinsiin,I am not lost,1s AI Independent Indicative,I am not lost
3050,nimaacaassiinaapan,I did not leave,1s AI Independent Preterit,I did not leave
3051,niwaniššinsiinaapan,I was not lost,1s AI Independent Preterit,I was not lost
3052,nimiicissiinaatok,I must not be eating it,1s→0s TI3 Independent Dubitative,I must not be eating it
3053,nimiicissiinaatokenan,I must not be eating them (inan.),1s→0p TI3 Independent Dubitative,I must not be eating them(plur.)
3054,nimiicissiinan,I do not eat them (inan.),1s→0p TI3 Independent Indicative,I do not eat them(plur.)
3055,niwanittoominaatokenan,we (excl.) must be losing them (inan.),1p→0p TI2 Independent Dubitative,we must be losing them(plur.)
3056,owaapantaan,s/he sees it,3s→0s TI1 Independent Indicative,they(sing.) see it
3057,owaapamaan,"s/he sees him/her, them (obv.)",3s→3' TA Independent Indicative,they(sing.) see them(sing.)
3058,owaapamaan,"s/he sees him/her, them (obv.)",3s→3' TA Independent Indicative,they(sing.) see them(plur.)
3059,owaapantaanaapan,s/he saw it,3s→0s TI1 Independent Preterit,they(sing.) saw it
3060,owaapantaanaapanen,s/he saw them (inan.),3s→0p TI1 Independent Preterit,they(sing.) saw them(plur.)
3061,owaapantaanaatok,s/he must be seeing it,3s→0s TI1 Independent Dubitative,they(sing.) must be seeing it
3062,owaapantaanaatokenan,s/he must be seeing them (inan.),3s→0p TI1 Independent Dubitative,they(sing.) must be seeing them(plur.)
3063,owaapantaanaawaa,they (anim.) see it,3p→0s TI1 Independent Indicative,they(plur.) see it
3064,owaapantaanaawaan,they (anim.) see them (inan.),3p→0p TI1 Independent Indicative,they(plur.) see them(plur.)
3065,owaapantaanaawaapan,they (anim.) saw it,3p→0s TI1 Independent Preterit,they(plur.) saw it
3066,owaapantaanaawaapanen,they (anim.) saw them (inan.),3p→0p TI1 Independent Preterit,they(plur.) saw them(plur.)
3067,owaapantaanaawaatok,they (anim.) must be seeing it,3p→0s TI1 Independent Dubitative,they(plur.) must be seeing it
3068,owaapantaanaawaatokenan,they (anim.) must be seeing them (inan.),3p→0p TI1 Independent Dubitative,they(plur.) must be seeing them(plur.)
3069,owaapantaanan,s/he sees them (inan.),3s→0p TI1 Independent Indicative,they(sing.) see them(plur.)
3070,owaapamaani,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) see them(sing.)
3071,owaapamaani,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) see them(plur.)
3072,owaapamaani,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) see them(sing.)
3073,owaapamaani,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) see them(plur.)
3074,owaapantaaninaapan,"s/he, they (obv.) saw it",3'→0s TI1 Independent Preterit,they(plur.) saw it
3075,owaapantaaninaapan,"s/he, they (obv.) saw it",3'→0s TI1 Independent Preterit,they(sing.) saw it
3076,owaapantaaninaapanen,"s/he, they (obv.) saw them (inan.)",3'→0p TI1 Independent Preterit,they(plur.) saw them(plur.)
3077,owaapantaaninaapanen,"s/he, they (obv.) saw them (inan.)",3'→0p TI1 Independent Preterit,they(sing.) saw them(plur.)
3078,owaapamaaninaapanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) saw them(sing.)
3079,owaapamaaninaapanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) saw them(plur.)
3080,owaapamaaninaapanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) saw them(sing.)
3081,owaapamaaninaapanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) saw them(plur.)
3082,owaapantaaninaatok,"s/he, they (obv.) must be seeing it",3'→0s TI1 Independent Dubitative,they(plur.) must be seeing it
3083,owaapantaaninaatok,"s/he, they (obv.) must be seeing it",3'→0s TI1 Independent Dubitative,they(sing.) must be seeing it
3084,owaapantaaninaatokenan,"s/he, they (obv.) must be seeing them (inan.)",3'→0p TI1 Independent Dubitative,they(plur.) must be seeing them(plur.)
3085,owaapantaaninaatokenan,"s/he, they (obv.) must be seeing them (inan.)",3'→0p TI1 Independent Dubitative,they(sing.) must be seeing them(plur.)
3086,owaapantaanini,"s/he, they (obv.) see it, them (inan.)",3'→0 TI1 Independent Indicative,they(plur.) see it
3087,owaapantaanini,"s/he, they (obv.) see it, them (inan.)",3'→0 TI1 Independent Indicative,they(plur.) see them(plur.)
3088,owaapantaanini,"s/he, they (obv.) see it, them (inan.)",3'→0 TI1 Independent Indicative,they(sing.) see it
3089,owaapantaanini,"s/he, they (obv.) see it, them (inan.)",3'→0 TI1 Independent Indicative,they(sing.) see them(plur.)
3090,owaapamaanini,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) see them(sing.)
3091,owaapamaanini,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) see them(plur.)
3092,owaapamaanini,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) see them(sing.)
3093,owaapamaanini,"s/he, they (obv.) see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) see them(plur.)
3094,owaapamaaniniipanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) saw them(sing.)
3095,owaapamaaniniipanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) saw them(plur.)
3096,owaapamaaniniipanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) saw them(sing.)
3097,owaapamaaniniipanen,"s/he, they (obv.) saw him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) saw them(plur.)
3098,owaapamaaninitokenan,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Independent Dubitative,they(plur.) must be seeing them(sing.)
3099,owaapamaaninitokenan,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Independent Dubitative,they(plur.) must be seeing them(plur.)
3100,owaapamaaninitokenan,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Independent Dubitative,they(sing.) must be seeing them(sing.)
3101,owaapamaaninitokenan,"s/he, they (obv.) must be seeing him/her, them (obv.)",3'→3'' TA Independent Dubitative,they(sing.) must be seeing them(plur.)
3102,owaapamaapanen,"s/he saw him/her, them (obv.)",3s→3' TA Independent Preterit,they(sing.) saw them(sing.)
3103,owaapamaapanen,"s/he saw him/her, them (obv.)",3s→3' TA Independent Preterit,they(sing.) saw them(plur.)
3104,owaapamaasiwaawaapanen,"they (anim.) did not see him/her, them (obv.)",3p→3' TA Independent Preterit,they(plur.) did not see them(sing.)
3105,owaapamaasiwaawaapanen,"they (anim.) did not see him/her, them (obv.)",3p→3' TA Independent Preterit,they(plur.) did not see them(plur.)
3106,owaapamaassiin,"s/he does not see him/her, them (obv.)",3s→3' TA Independent Indicative,they(sing.) do not see them(sing.)
3107,owaapamaassiin,"s/he does not see him/her, them (obv.)",3s→3' TA Independent Indicative,they(sing.) do not see them(plur.)
3108,owaapamaassiini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) do not see them(sing.)
3109,owaapamaassiini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) do not see them(plur.)
3110,owaapamaassiini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) do not see them(sing.)
3111,owaapamaassiini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) do not see them(plur.)
3112,owaapamaassiininaapanen,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) did not see them(sing.)
3113,owaapamaassiininaapanen,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) did not see them(plur.)
3114,owaapamaassiininaapanen,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) did not see them(sing.)
3115,owaapamaassiininaapanen,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) did not see them(plur.)
3116,owaapamaassiinini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) do not see them(sing.)
3117,owaapamaassiinini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) do not see them(plur.)
3118,owaapamaassiinini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) do not see them(sing.)
3119,owaapamaassiinini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) do not see them(plur.)
3120,owaapamaassiipanen,"s/he did not see him/her, them (obv.)",3s→3' TA Independent Preterit,they(sing.) did not see them(sing.)
3121,owaapamaassiipanen,"s/he did not see him/her, them (obv.)",3s→3' TA Independent Preterit,they(sing.) did not see them(plur.)
3122,owaapamaassiitokenan,"s/he must not be seeing him/her, them (obv.)",3s→3' TA Independent Dubitative,they(sing.) must not be seeing them(sing.)
3123,owaapamaassiitokenan,"s/he must not be seeing him/her, them (obv.)",3s→3' TA Independent Dubitative,they(sing.) must not be seeing them(plur.)
3124,owaapamaassiwaawaan,"they (anim.) do not see him/her, them (obv.)",3p→3' TA Independent Indicative,they(plur.) do not see them(sing.)
3125,owaapamaassiwaawaan,"they (anim.) do not see him/her, them (obv.)",3p→3' TA Independent Indicative,they(plur.) do not see them(plur.)
3126,owaapamaassiwaawaatokenan,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Independent Dubitative,they(plur.) must not be seeing them(sing.)
3127,owaapamaassiwaawaatokenan,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Independent Dubitative,they(plur.) must not be seeing them(plur.)
3128,owaapamaatokenan,"s/he must be seeing him/her, them (obv.)",3s→3' TA Independent Dubitative,they(sing.) must be seeing them(sing.)
3129,owaapamaatokenan,"s/he must be seeing him/her, them (obv.)",3s→3' TA Independent Dubitative,they(sing.) must be seeing them(plur.)
3130,owaapamaawaan,"they (anim.) see him/her, them (obv.)",3p→3' TA Independent Indicative,they(plur.) see them(sing.)
3131,owaapamaawaan,"they (anim.) see him/her, them (obv.)",3p→3' TA Independent Indicative,they(plur.) see them(plur.)
3132,owaapamaawaapanen,"they (anim.) saw him/her, them (obv.)",3p→3' TA Independent Preterit,they(plur.) saw them(sing.)
3133,owaapamaawaapanen,"they (anim.) saw him/her, them (obv.)",3p→3' TA Independent Preterit,they(plur.) saw them(plur.)
3134,owaapamaawaatokenan,"they (anim.) must be seeing him/her, them (obv.)",3p→3' TA Independent Dubitative,they(plur.) must be seeing them(sing.)
3135,owaapamaawaatokenan,"they (anim.) must be seeing him/her, them (obv.)",3p→3' TA Independent Dubitative,they(plur.) must be seeing them(plur.)
3136,owaapantaminaapan,"s/he, they (obv.) saw it",3'→0s TI1 Independent Preterit,they(plur.) saw it
3137,owaapantaminaapan,"s/he, they (obv.) saw it",3'→0s TI1 Independent Preterit,they(sing.) saw it
3138,owaapantaminaapanen,"s/he, they (obv.) saw them (inan.)",3'→0p TI1 Independent Preterit,they(plur.) saw them(plur.)
3139,owaapantaminaapanen,"s/he, they (obv.) saw them (inan.)",3'→0p TI1 Independent Preterit,they(sing.) saw them(plur.)
3140,owaapantamini,"s/he, they (obv.) see it, them (obv.)",3'→0 TI1 Independent Indicative,they(plur.) see it
3141,owaapantamini,"s/he, they (obv.) see it, them (obv.)",3'→0 TI1 Independent Indicative,they(plur.) see them(plur.)
3142,owaapantamini,"s/he, they (obv.) see it, them (obv.)",3'→0 TI1 Independent Indicative,they(sing.) see it
3143,owaapantamini,"s/he, they (obv.) see it, them (obv.)",3'→0 TI1 Independent Indicative,they(sing.) see them(plur.)
3144,owaapantansiin,s/he does not see it,3s→0s TI1 Independent Indicative,they(sing.) do not see it
3145,owaapantansiinaapan,s/he did not see it,3s→0s TI1 Independent Preterit,they(sing.) did not see it
3146,owaapantansiinaapanen,s/he did not see them (inan.),3s→0p TI1 Independent Preterit,they(sing.) did not see them(plur.)
3147,owaapantansiinaatok,s/he must not be seeing it,3s→0s TI1 Independent Dubitative,they(sing.) must not be seeing it
3148,owaapantansiinaatokenan,s/he must not be seeing them (inan.),3s→0p TI1 Independent Dubitative,they(sing.) must not be seeing them(plur.)
3149,owaapantansiinaawaa,they (anim.) do not see it,3p→0s TI1 Independent Indicative,they(plur.) do not see it
3150,owaapantansiinaawaan,they (anim.) do not see them (inan.),3p→0p TI1 Independent Indicative,they(plur.) do not see them(plur.)
3151,owaapantansiinaawaapan,they (anim.) did not see it,3p→0s TI1 Independent Preterit,they(plur.) did not see it
3152,owaapantansiinaawaapanen,they (anim.) did not see them (inan.),3p→0p TI1 Independent Preterit,they(plur.) did not see them(plur.)
3153,owaapantansiinaawaatok,they (anim.) must not be seeing it,3p→0s TI1 Independent Dubitative,they(plur.) must not be seeing it
3154,owaapantansiinaawaatokenan,they (anim.) must not be seeing them (inan.),3p→0p TI1 Independent Dubitative,they(plur.) must not be seeing them(plur.)
3155,owaapantansiinan,s/he does not see them (inan.),3s→0p TI1 Independent Indicative,they(sing.) do not see them(plur.)
3156,owaapantansiininaapan,"s/he, they (obv.) did not see it",3'→0s TI1 Independent Preterit,they(plur.) did not see it
3157,owaapantansiininaapan,"s/he, they (obv.) did not see it",3'→0s TI1 Independent Preterit,they(sing.) did not see it
3158,owaapantansiininaapanen,"s/he, they (obv.) did not see them (inan.)",3'→0p TI1 Independent Preterit,they(plur.) did not see them(plur.)
3159,owaapantansiininaapanen,"s/he, they (obv.) did not see them (inan.)",3'→0p TI1 Independent Preterit,they(sing.) did not see them(plur.)
3160,owaapantansiininaatok,"s/he, they (obv.) must not be seeing it",3'→0s TI1 Independent Dubitative,they(plur.) must not be seeing it
3161,owaapantansiininaatok,"s/he, they (obv.) must not be seeing it",3'→0s TI1 Independent Dubitative,they(sing.) must not be seeing it
3162,owaapantansiininaatokenan,"s/he, they (obv.) must not be seeing them (inan.)",3'→0p TI1 Independent Dubitative,they(plur.) must not be seeing them(plur.)
3163,owaapantansiininaatokenan,"s/he, they (obv.) must not be seeing them (inan.)",3'→0p TI1 Independent Dubitative,they(sing.) must not be seeing them(plur.)
3164,owaapantansiinini,"s/he, they (obv.) do not see it, them (inan.)",3'→0 TI1 Independent Indicative,they(plur.) do not see it
3165,owaapantansiinini,"s/he, they (obv.) do not see it, them (inan.)",3'→0 TI1 Independent Indicative,they(plur.) do not see them(plur.)
3166,owaapantansiinini,"s/he, they (obv.) do not see it, them (inan.)",3'→0 TI1 Independent Indicative,they(sing.) do not see it
3167,owaapantansiinini,"s/he, they (obv.) do not see it, them (inan.)",3'→0 TI1 Independent Indicative,they(sing.) do not see them(plur.)
3168,owaapamikon,it sees him/her,0s→3s TA Independent Indicative,it sees them(sing.)
3169,onoontaakon,it hears him/her,0s→3s TA Independent Indicative,it hears them(sing.)
3170,ompakkitte'okon,it hits him/her,0s→3s TA Independent Indicative,it hits them(sing.)
3171,owaapamikonaapan,it saw him/her,0s→3s TA Independent Preterit,it saw them(sing.)
3172,onoontaakonaapan,it heard him/her,0s→3s TA Independent Preterit,it heard them(sing.)
3173,ompakkitte'okonaapan,it hit him/her,0s→3s TA Independent Preterit,it hit them(sing.)
3174,owaapamikonaapanen,they (inan.) saw him/her,0p→3s TA Independent Preterit,they(plur.) saw them(sing.)
3175,onoontaakonaapanen,they (inan.) heard him/her,0p→3s TA Independent Preterit,they(plur.) heard them(sing.)
3176,ompakkitte'okonaapanen,they (inan.) hit him/her,0p→3s TA Independent Preterit,they(plur.) hit them(sing.)
3177,owaapamikonaatok,it must be seeing him/her,0s→3s TA Independent Dubitative,it must be seeing them(sing.)
3178,onoontaakonaatok,it must be hearing him/her,0s→3s TA Independent Dubitative,it must be hearing them(sing.)
3179,ompakkitte'okonaatok,it must be hitting him/her,0s→3s TA Independent Dubitative,it must be hitting them(sing.)
3180,owaapamikonaatokenan,they (inan.) must be seeing him/her,0p→3s TA Independent Dubitative,they(plur.) must be seeing them(sing.)
3181,onoontaakonaatokenan,they (inan.) must be hearing him/her,0p→3s TA Independent Dubitative,they(plur.) must be hearing them(sing.)
3182,ompakkitte'okonaatokenan,they (inan.) must be hitting him/her,0p→3s TA Independent Dubitative,they(plur.) must be hitting them(sing.)
3183,owaapamikonaawaa,it sees them (anim.),0s→3p TA Independent Indicative,it sees them(plur.)
3184,onoontaakonaawaa,it hears them (anim.),0s→3p TA Independent Indicative,it hears them(plur.)
3185,ompakkitte'okonaawaa,it hits them (anim.),0s→3p TA Independent Indicative,it hits them(plur.)
3186,owaapamikonaawaan,they (inan.) see them (anim.),0p→3p TA Independent Indicative,they(plur.) see them(plur.)
3187,onoontaakonaawaan,they (inan.) hear them (anim.),0p→3p TA Independent Indicative,they(plur.) hear them(plur.)
3188,ompakkitte'okonaawaan,they (inan.) hit them (anim.),0p→3p TA Independent Indicative,they(plur.) hit them(plur.)
3189,owaapamikonaawaapan,it saw them (anim.),0s→3p TA Independent Preterit,it saw them(plur.)
3190,onoontaakonaawaapan,it heard them (anim.),0s→3p TA Independent Preterit,it heard them(plur.)
3191,ompakkitte'okonaawaapan,it hit them (anim.),0s→3p TA Independent Preterit,it hit them(plur.)
3192,owaapamikonaawaapanen,they (inan.) saw them (anim.),0p→3p TA Independent Preterit,they(plur.) saw them(plur.)
3193,onoontaakonaawaapanen,they (inan.) heard them (anim.),0p→3p TA Independent Preterit,they(plur.) heard them(plur.)
3194,ompakkitte'okonaawaapanen,they (inan.) hit them (anim.),0p→3p TA Independent Preterit,they(plur.) hit them(plur.)
3195,owaapamikonaawaatok,it must be seeing them (anim.),0s→3p TA Independent Dubitative,it must be seeing them(plur.)
3196,onoontaakonaawaatok,it must be hearing them (anim.),0s→3p TA Independent Dubitative,it must be hearing them(plur.)
3197,ompakkitte'okonaawaatok,it must be hitting them (anim.),0s→3p TA Independent Dubitative,it must be hitting them(plur.)
3198,owaapamikonaawaatokenan,they (inan.) must be seeing them (anim.),0p→3p TA Independent Dubitative,they(plur.) must be seeing them(plur.)
3199,onoontaakonaawaatokenan,they (inan.) must be hearing them (anim.),0p→3p TA Independent Dubitative,they(plur.) must be hearing them(plur.)
3200,ompakkitte'okonaawaatokenan,they (inan.) must be hitting them (anim.),0p→3p TA Independent Dubitative,they(plur.) must be hitting them(plur.)
3201,owaapamikonan,they (inan.) see him/her,0p→3s TA Independent Indicative,they(plur.) see them(sing.)
3202,onoontaakonan,they (inan.) hear him/her,0p→3s TA Independent Indicative,they(plur.) hear them(sing.)
3203,ompakkitte'okonan,they (inan.) hit him/her,0p→3s TA Independent Indicative,they(plur.) hit them(sing.)
3204,owaapamikoni,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) see them(sing.)
3205,owaapamikoni,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) see them(plur.)
3206,owaapamikoni,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,it sees them(sing.)
3207,owaapamikoni,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,it sees them(plur.)
3208,onoontaakoni,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hear them(sing.)
3209,onoontaakoni,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hear them(plur.)
3210,onoontaakoni,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,it hears them(sing.)
3211,onoontaakoni,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,it hears them(plur.)
3212,ompakkitte'okoni,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hit them(sing.)
3213,ompakkitte'okoni,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hit them(plur.)
3214,ompakkitte'okoni,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,it hits them(sing.)
3215,ompakkitte'okoni,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,it hits them(plur.)
3216,owaapamikoninaapan,"it saw him/her, them (obv.)",0s→3' TA Independent Preterit,it saw them(sing.)
3217,owaapamikoninaapan,"it saw him/her, them (obv.)",0s→3' TA Independent Preterit,it saw them(plur.)
3218,onoontaakoninaapan,"it heard him/her, them (obv.)",0s→3' TA Independent Preterit,it heard them(sing.)
3219,onoontaakoninaapan,"it heard him/her, them (obv.)",0s→3' TA Independent Preterit,it heard them(plur.)
3220,ompakkitte'okoninaapan,"it hit him/her, them (obv.)",0s→3' TA Independent Preterit,it hit them(sing.)
3221,ompakkitte'okoninaapan,"it hit him/her, them (obv.)",0s→3' TA Independent Preterit,it hit them(plur.)
3222,owaapamikoninaapanen,"they (inan.) saw him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) saw them(sing.)
3223,owaapamikoninaapanen,"they (inan.) saw him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) saw them(plur.)
3224,onoontaakoninaapanen,"they (inan.) heard him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) heard them(sing.)
3225,onoontaakoninaapanen,"they (inan.) heard him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) heard them(plur.)
3226,ompakkitte'okoninaapanen,"they (inan.) hit him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) hit them(sing.)
3227,ompakkitte'okoninaapanen,"they (inan.) hit him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) hit them(plur.)
3228,owaapamikoninaatok,"it must be seeing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be seeing them(sing.)
3229,owaapamikoninaatok,"it must be seeing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be seeing them(plur.)
3230,onoontaakoninaatok,"it must be hearing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be hearing them(sing.)
