Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
kiwaapamikossiinaawaa,it does not see you (pl.),0s→2p TA Independent Indicative,it does not see you
kiwaapamikossiinaawaan,they (inan.) do not see you (pl.),0p→2p TA Independent Indicative,they(plur.) do not see you (pl.)
kiwaapamikossiinaawaapan,it did not see you (pl.),0s→2p TA Independent Preterit,it did not see you
kiwaapamikossiinaawaapanen,they (inan.) did not see you (pl.),0p→2p TA Independent Preterit,they(plur.) did not see you (pl.)
kiwaapamikossiinaawaatok,it must not be seeing you (pl.),0s→2p TA Independent Dubitative,it must not be seeing you
kiwaapamikossiinaawaatokenan,they (inan.) must not be seeing you (pl.),0p→2p TA Independent Dubitative,they(plur.) must not be seeing you (pl.)
kiwaapamikossiinan,they (inan.) do not see you (sg.),0p→2s TA Independent Indicative,they(plur.) do not see you (sg.)
kiwaapamikossiipan,s/he did not see you (sg.),3s→2s TA Independent Preterit,they(sing.) did not see you
kiwaapamikossiipanek,they (anim.) did not see you (sg.),3p→2s TA Independent Preterit,they(plur.) did not see you (sg.)
kiwaapamikossiitok,s/he must not be seeing you (sg.),3s→2s TA Independent Dubitative,they(sing.) must not be seeing you
kiwaapamikossiitokenak,they (anim.) must not be seeing you (sg.),3p→2s TA Independent Dubitative,they(plur.) must not be seeing you (sg.)
kiwaapamikossiiwaa,s/he does not see you (pl.),3s→2p TA Independent Indicative,FLAGthey(sing.) does not see you
kiwaapamikossiiwaak,they (anim.) do not see you (pl.),3p→2p TA Independent Indicative,they(plur.) do not see you (pl.)
kiwaapamikossiiwaapan,s/he did not see you (pl.),3s→2p TA Independent Preterit,they(sing.) did not see you
kiwaapamikossiiwaapanek,they (anim.) did not see you (pl.),3p→2p TA Independent Preterit,they(plur.) did not see you (pl.)
kiwaapamikossiiwaatok,s/he must not be seeing you (pl.),3s→2p TA Independent Dubitative,they(sing.) must not be seeing you
kiwaapamikossiiwaatokenak,they (anim.) must not be seeing you (pl.),3p→2p TA Independent Dubitative,they(plur.) must not be seeing you (pl.)
kiwaapamikotok,s/he must be seeing you (sg.),3s→2s TA Independent Dubitative,they(sing.) must be seeing you
kinoontaakotok,s/he must be hearing you (sg.),3s→2s TA Independent Dubitative,they(sing.) must be hearing you
kimpakkitte'okotok,s/he must be hitting you (sg.),3s→2s TA Independent Dubitative,they(sing.) must be hitting you
kiwaapamikotokenak,they (anim.) must be seeing you (sg.),3p→2s TA Independent Dubitative,they(plur.) must be seeing you (sg.)
kinoontaakotokenak,they (anim.) must be hearing you (sg.),3p→2s TA Independent Dubitative,they(plur.) must be hearing you (sg.)
kimpakkitte'okotokenak,they (anim.) must be hitting you (sg.),3p→2s TA Independent Dubitative,they(plur.) must be hitting you (sg.)
kiwaapamikowaa,s/he sees you (pl.),3s→2p TA Independent Indicative,FLAGthey(sing.) sees you
kinoontaakowaa,s/he hears you (pl.),3s→2p TA Independent Indicative,FLAGthey(sing.) hears you
kimpakkitte'okowaa,s/he hits you (pl.),3s→2p TA Independent Indicative,FLAGthey(sing.) hits you
kiwaapamikowaak,they (anim.) see you (pl.),3p→2p TA Independent Indicative,they(plur.) see you (pl.)
kinoontaakowaak,they (anim.) hear you (pl.),3p→2p TA Independent Indicative,they(plur.) hear you (pl.)
kimpakkitte'okowaak,they (anim.) hit you (pl.),3p→2p TA Independent Indicative,they(plur.) hit you (pl.)
kiwaapamikowaapan,s/he saw you (pl.),3s→2p TA Independent Preterit,they(sing.) saw you
kinoontaakowaapan,s/he heard you (pl.),3s→2p TA Independent Preterit,they(sing.) heard you
kimpakkitte'okowaapan,s/he hit you (pl.),3s→2p TA Independent Preterit,they(sing.) hit you
kiwaapamikowaapanek,they (anim.) saw you (pl.),3p→2p TA Independent Preterit,they(plur.) saw you (pl.)
kinoontaakowaapanek,they (anim.) heard you (pl.),3p→2p TA Independent Preterit,they(plur.) heard you (pl.)
kimpakkitte'okowaapanek,they (anim.) hit you (pl.),3p→2p TA Independent Preterit,they(plur.) hit you (pl.)
kiwaapamikowaatok,s/he must be seeing you (pl.),3s→2p TA Independent Dubitative,they(sing.) must be seeing you
kinoontaakowaatok,s/he must be hearing you (pl.),3s→2p TA Independent Dubitative,they(sing.) must be hearing you
kimpakkitte'okowaatok,s/he must be hitting you (pl.),3s→2p TA Independent Dubitative,they(sing.) must be hitting you
kiwaapamikowaatokenak,they (anim.) must be seeing you (pl.),3p→2p TA Independent Dubitative,they(plur.) must be seeing you (pl.)
kinoontaakowaatokenak,they (anim.) must be hearing you (pl.),3p→2p TA Independent Dubitative,they(plur.) must be hearing you (pl.)
kimpakkitte'okowaatokenak,they (anim.) must be hitting you (pl.),3p→2p TA Independent Dubitative,they(plur.) must be hitting you (pl.)
kiwaapamim,you (pl.) see me,2p→1s TA Independent Indicative,you see me
kipakkitte'om,you (pl.) hit me,2p→1s TA Independent Indicative,you hit me
kimawatiššim,you (pl.) visit me,2p→1s TA Independent Indicative,you visit me
kimiišim,you (pl.) give it to me,2p→1s TA Independent Indicative,you give it to me
kikonšim,you (pl.) swallow me,2p→1s TA Independent Indicative,you swallow me
kiwaapamimaan,"you (sg.) see him/her, them (obv.)",2s→3' TA Independent Indicative,"you see him/her, them (obv.)"
kiwaapamimaan,"you (sg.) see him/her, them (obv.)",2s→3' TA Independent Indicative,"you see him/her, them (obv.)"
kiwaapamimaanaan,"we (incl.) see him/her, them (obv.)",21→3' TA Independent Indicative,"we see him/her, them (obv.)"
kiwaapamimaanaan,"we (incl.) see him/her, them (obv.)",21→3' TA Independent Indicative,"we see him/her, them (obv.)"
kiwaapamimaanaapanen,"we (incl.) saw him/her, them (obv.)",21→3' TA Independent Preterit,"we saw him/her, them (obv.)"
kiwaapamimaanaapanen,"we (incl.) saw him/her, them (obv.)",21→3' TA Independent Preterit,"we saw him/her, them (obv.)"
kiwaapamimaanaatokenan,"we (incl.) must be seeing him/her, them (obv.)",21→3' TA Independent Dubitative,"we must be seeing him/her, them (obv.)"
kiwaapamimaanaatokenan,"we (incl.) must be seeing him/her, them (obv.)",21→3' TA Independent Dubitative,"we must be seeing him/her, them (obv.)"
kiwaapamimaapanen,"you (sg.) saw him/her, them (obv.)",2s→3' TA Independent Preterit,"you saw him/her, them (obv.)"
kiwaapamimaapanen,"you (sg.) saw him/her, them (obv.)",2s→3' TA Independent Preterit,"you saw him/her, them (obv.)"
kiwaapamimaassiin,"you (sg.) do not see him/her, them (obv.)",2s→3' TA Independent Indicative,"you do not see him/her, them (obv.)"
kiwaapamimaassiin,"you (sg.) do not see him/her, them (obv.)",2s→3' TA Independent Indicative,"you do not see him/her, them (obv.)"
kiwaapamimaassiipanen,"you (sg.) did not see him/her, them (obv.)",2s→3' TA Independent Preterit,"you did not see him/her, them (obv.)"
kiwaapamimaassiipanen,"you (sg.) did not see him/her, them (obv.)",2s→3' TA Independent Preterit,"you did not see him/her, them (obv.)"
kiwaapamimaassiitokenan,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Independent Dubitative,"you must not be seeing him/her, them (obv.)"
kiwaapamimaassiitokenan,"you (sg.) must not be seeing him/her, them (obv.)",2s→3' TA Independent Dubitative,"you must not be seeing him/her, them (obv.)"
kiwaapamimaassiwaanaan,"we (incl.) do not see him/her, them (obv.)",21→3' TA Independent Indicative,"we do not see him/her, them (obv.)"
kiwaapamimaassiwaanaan,"we (incl.) do not see him/her, them (obv.)",21→3' TA Independent Indicative,"we do not see him/her, them (obv.)"
kiwaapamimaassiwaanaapanen,"we (incl.) did not see him/her, them (obv.)",21→3' TA Independent Preterit,"we did not see him/her, them (obv.)"
kiwaapamimaassiwaanaapanen,"we (incl.) did not see him/her, them (obv.)",21→3' TA Independent Preterit,"we did not see him/her, them (obv.)"
kiwaapamimaassiwaanaatokenan,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Independent Dubitative,"we must not be seeing him/her, them (obv.)"
kiwaapamimaassiwaanaatokenan,"we (incl.) must not be seeing him/her, them (obv.)",21→3' TA Independent Dubitative,"we must not be seeing him/her, them (obv.)"
kiwaapamimaassiwaawaan,"you (pl.) do not see him/her, them (obv.)",2p→3' TA Independent Indicative,"you do not see him/her, them (obv.)"
kiwaapamimaassiwaawaan,"you (pl.) do not see him/her, them (obv.)",2p→3' TA Independent Indicative,"you do not see him/her, them (obv.)"
kiwaapamimaassiwaawaapanen,"you (pl.) did not see him/her, them (obv.)",2p→3' TA Independent Preterit,"you did not see him/her, them (obv.)"
kiwaapamimaassiwaawaapanen,"you (pl.) did not see him/her, them (obv.)",2p→3' TA Independent Preterit,"you did not see him/her, them (obv.)"
kiwaapamimaassiwaawaatokenan,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Independent Dubitative,"you must not be seeing him/her, them (obv.)"
kiwaapamimaassiwaawaatokenan,"you (pl.) must not be seeing him/her, them (obv.)",2p→3' TA Independent Dubitative,"you must not be seeing him/her, them (obv.)"
kiwaapamimaatokenan,"you (sg.) must be seeing him/her, them (obv.)",2s→3' TA Independent Dubitative,"you must be seeing him/her, them (obv.)"
kiwaapamimaatokenan,"you (sg.) must be seeing him/her, them (obv.)",2s→3' TA Independent Dubitative,"you must be seeing him/her, them (obv.)"
kiwaapamimaawaan,"you (pl.) see him/her, them (obv.)",2p→3' TA Independent Indicative,"you see him/her, them (obv.)"
kiwaapamimaawaan,"you (pl.) see him/her, them (obv.)",2p→3' TA Independent Indicative,"you see him/her, them (obv.)"
kiwaapamimaawaapanen,"you (pl.) saw him/her, them (obv.)",2p→3' TA Independent Preterit,"you saw him/her, them (obv.)"
kiwaapamimaawaapanen,"you (pl.) saw him/her, them (obv.)",2p→3' TA Independent Preterit,"you saw him/her, them (obv.)"
kiwaapamimaawaatokenan,"you (pl.) must be seeing him/her, them (obv.)",2p→3' TA Independent Dubitative,"you must be seeing him/her, them (obv.)"
kiwaapamimaawaatokenan,"you (pl.) must be seeing him/her, them (obv.)",2p→3' TA Independent Dubitative,"you must be seeing him/her, them (obv.)"
kiwaapamimin,you (sg./pl.) see us (excl.),2→1p TA Independent Indicative,you see us (excl.)
kipakkitte'omin,you (sg./pl.) hit us (excl.),2→1p TA Independent Indicative,you hit us (excl.)
kimawatiššimin,you (sg./pl.) visit us (excl.),2→1p TA Independent Indicative,you visit us (excl.)
kimiišimin,you (sg./pl.) give it to us (excl.),2→1p TA Independent Indicative,you give it to us (excl.)
kikonšimin,you (sg./pl.) swallow us (excl.),2→1p TA Independent Indicative,you swallow us (excl.)
kiwaapamiminaapan,you saw us (excl.),2→1p TA Independent Preterit,you saw us
kipakkitte'ominaapan,you hit us (excl.),2→1p TA Independent Preterit,you hit us
kimawatiššiminaapan,you visited us (excl.),2→1p TA Independent Preterit,you visited us
kimiišiminaapan,you gave it to us (excl.),2→1p TA Independent Preterit,you gave it to us
kikonšiminaapan,you swallowed us (excl.),2→1p TA Independent Preterit,you swallowed us
kiwaapamiminaatok,you must be seeing us (excl.),2→1p TA Independent Dubitative,you must be seeing us
kipakkitte'ominaatok,you must be hitting us (excl.),2→1p TA Independent Dubitative,you must be hitting us
kimawatiššiminaatok,you must be visiting us (excl.),2→1p TA Independent Dubitative,you must be visiting us
kimiišiminaatok,you must be giving it to us (excl.),2→1p TA Independent Dubitative,you must be giving it to us
kikonšiminaatok,you must be swallowing us (excl.),2→1p TA Independent Dubitative,you must be swallowing us
kiwaapamimwaapan,you (pl.) saw me,2p→1s TA Independent Preterit,you saw me
kipakkitte'omwaapan,you (pl.) hit me,2p→1s TA Independent Preterit,you hit me
kimawatiššimwaapan,you (pl.) visited me,2p→1s TA Independent Preterit,you visited me
kimiišimwaapan,you (pl.) gave it to me,2p→1s TA Independent Preterit,you gave it to me
kikonšimwaapan,you (pl.) swallowed me,2p→1s TA Independent Preterit,you swallowed me
kiwaapamimwaatok,you (pl.) must be seeing me,2p→1s TA Independent Dubitative,you must be seeing me
kipakkitte'omwaatok,you (pl.) must be hitting me,2p→1s TA Independent Dubitative,you must be hitting me
kimawatiššimwaatok,you (pl.) must be visiting me,2p→1s TA Independent Dubitative,you must be visiting me
kimiišimwaatok,you (pl.) must be giving it to me,2p→1s TA Independent Dubitative,you must be giving it to me
kikonšimwaatok,you (pl.) must be swallowing me,2p→1s TA Independent Dubitative,you must be swallowing me
kiwaapamin,I see you (sg.),1s→2s TA Independent Indicative,I see you
kipakkitte'on,I hit you (sg.),1s→2s TA Independent Indicative,I hit you
kinoontoon,I hear you (sg.),1s→2s TA Independent Indicative,I hear you
kiwaapaminaapan,you (sg.) saw me,2s→1s TA Independent Preterit,you saw me
kipakkitte'onaapan,you (sg.) hit me,2s→1s TA Independent Preterit,you hit me
kimawatiššinaapan,you (sg.) visited me,2s→1s TA Independent Preterit,you visited me
kimiišinaapan,you (sg.) gave it to me,2s→1s TA Independent Preterit,you gave it to me
kikonšinaapan,you (sg.) swallowed me,2s→1s TA Independent Preterit,you swallowed me
kiwaapaminaatok,you (sg.) must be seeing me,2s→1s TA Independent Dubitative,you must be seeing me
kipakkitte'onaatok,you (sg.) must be hitting me,2s→1s TA Independent Dubitative,you must be hitting me
kimawatiššinaatok,you (sg.) must be visiting me,2s→1s TA Independent Dubitative,you must be visiting me
kimiišinaatok,you (sg.) must be giving it to me,2s→1s TA Independent Dubitative,you must be giving it to me
kikonšinaatok,you (sg.) must be swallowing me,2s→1s TA Independent Dubitative,you must be swallowing me
kiwaapamininaapan,I saw you (sg.),1s→2s TA Independent Preterit,I saw you
kipakkitte'oninaapan,I hit you (sg.),1s→2s TA Independent Preterit,I hit you
kinoontooninaapan,I heard you (sg.),1s→2s TA Independent Preterit,I heard you
kiwaapamininaatok,I must be seeing you (sg.),1s→2s TA Independent Dubitative,I must be seeing you
kipakkitte'oninaatok,I must be hitting you (sg.),1s→2s TA Independent Dubitative,I must be hitting you
kinoontooninaatok,I must be hearing you (sg.),1s→2s TA Independent Dubitative,I must be hearing you
kiwaapamininim,I see you (pl.),1s→2p TA Independent Indicative,I see you
kipakkitte'oninim,I hit you (pl.),1s→2p TA Independent Indicative,I hit you
kinoontooninim,I hear you (pl.),1s→2p TA Independent Indicative,I hear you
kiwaapamininimwaapan,I saw you (pl.),1s→2p TA Independent Preterit,I saw you
kipakkitte'oninimwaapan,I hit you (pl.),1s→2p TA Independent Preterit,I hit you
kinoontooninimwaapan,I heard you (pl.),1s→2p TA Independent Preterit,I heard you
kiwaapamininimwaatok,I must be seeing you (pl.),1s→2p TA Independent Dubitative,I must be seeing you
kipakkitte'oninimwaatok,I must be hitting you (pl.),1s→2p TA Independent Dubitative,I must be hitting you
kinoontooninimwaatok,I must be hearing you (pl.),1s→2p TA Independent Dubitative,I must be hearing you
kiwaapamissiim,you (pl.) do not see me,2p→1s TA Independent Indicative,you do not see me
kiwaapamissiimin,you (sg./pl.) do not see us (excl.),2→1p TA Independent Indicative,you do not see us (excl.)
kiwaapamissiiminaapan,you did not see us (excl.),2→1p TA Independent Preterit,you did not see us
kiwaapamissiiminaatok,you must not be seeing us (excl.),2→1p TA Independent Dubitative,you must not be seeing us
kiwaapamissiimwaapan,you (pl.) did not see me,2p→1s TA Independent Preterit,you did not see me
kiwaapamissiimwaatok,you (pl.) must not be seeing me,2p→1s TA Independent Dubitative,you must not be seeing me
kiwaapamissiin,you (sg.) do not see me,2s→1s TA Independent Indicative,you do not see me
kiwaapamissiinaapan,you (sg) did not see me,2s→1s TA Independent Preterit,you did not see me
kiwaapamissiinaatok,you (sg.) must not be seeing me,2s→1s TA Independent Dubitative,you must not be seeing me
kiwaapamissinoon,I do not see you (sg.),1s→2s TA Independent Indicative,I do not see you
kiwaapamissinooninaapan,I did not see you (sg.),1s→2s TA Independent Preterit,I did not see you
kiwaapamissinooninaatok,I must not be seeing you (sg.),1s→2s TA Independent Dubitative,I must not be seeing you
kiwaapamissinooninim,I do not see you (pl.),1s→2p TA Independent Indicative,I do not see you
kiwaapamissinooninimwaapan,I did not see you (pl.),1s→2p TA Independent Preterit,I did not see you
kiwaapamissinooninimwaatok,I must not be seeing you (pl.),1s→2p TA Independent Dubitative,I must not be seeing you
kimaacaam,you (pl.) leave,2p AI Independent Indicative,you leave
kiniimim,you (pl.) dance,2p AI Independent Indicative,you dance
kiwaniššinim,you (pl.) are lost,2p AI Independent Indicative,you are lost
kimiicimin,"we (incl.) eat it, them (inan.)",21→0 TI3 Independent Indicative,"we eat it, them (inan.)"
kimiicimin,"we (incl.) eat it, them (inan.)",21→0 TI3 Independent Indicative,"we eat it, them (inan.)"
kimaacaamin,we (incl.) leave,21 AI Independent Indicative,we leave
kiniimimin,we (incl.) dance,21 AI Independent Indicative,we dance
kiwaniššinimin,we (incl.) are lost,21 AI Independent Indicative,we are lost
kimaacaaminaapan,we (incl.) left,21 AI Independent Preterit,we left
kiniimiminaapan,we (incl.) danced,21 AI Independent Preterit,we danced
kiwaniššiniminaapan,we (incl.) were lost,21 AI Independent Preterit,we were lost
kimiiciminaapan,we (incl.) ate it,21→0s TI3 Independent Preterit,we ate it
kimiiciminaapanen,we (incl.) ate them (inan.),21→0p TI3 Independent Preterit,we ate them (inan.)
kimiiciminaatok,we (incl.) must be eating it,21→0s TI3 Independent Dubitative,we must be eating it
kimaacaaminaatok,we (incl.) must be leaving,21 AI Independent Dubitative,we must be leaving
kiniimiminaatok,we (incl.) must be dancing,21 AI Independent Dubitative,we must be dancing
kiwaniššiniminaatok,we (incl.) must be lost,21 AI Independent Dubitative,we must be lost
kimiiciminaatokenan,we (incl.) must be eating them (inan.),21→0p TI3 Independent Dubitative,we must be eating them (inan.)
kimaacaamwaapan,you (pl.) left,2p AI Independent Preterit,you left
kiniimimwaapan,you (pl.) danced,2p AI Independent Preterit,you danced
kiwaniššinimwaapan,you (pl.) were lost,2p AI Independent Preterit,you were lost
kimaacaamwaatok,you (pl.) must be leaving,2p AI Independent Dubitative,you must be leaving
kiniimimwaatok,you (pl.) must be dancing,2p AI Independent Dubitative,you must be dancing
kiwaniššinimwaatok,you (pl.) must be lost,2p AI Independent Dubitative,you must be lost
kimiicin,you (sg.) eat it,2s→0s TI3 Independent Indicative,you eat it
kimiicinaapan,you (sg.) ate it,2s→0s TI3 Independent Preterit,you ate it
kimaacaanaapan,you (sg.) left,2s AI Independent Preterit,you left
kiniiminaapan,you (sg.) danced,2s AI Independent Preterit,you danced
kiwaniššininaapan,you (sg.) were lost,2s AI Independent Preterit,you were lost
kimiicinaapanen,you (sg.) ate them (inan.),2s→0p TI3 Independent Preterit,you ate them (inan.)
kimiicinaatok,you (sg.) must be eating it,2s→0s TI3 Independent Dubitative,you must be eating it
kimaacaanaatok,you (sg.) must be leaving,2s AI Independent Dubitative,you must be leaving
kiniiminaatok,you (sg.) must be dancing,2s AI Independent Dubitative,you must be dancing
kiwaniššininaatok,you (sg.) must be lost,2s AI Independent Dubitative,you must be lost
kimiicinaatokenan,you (sg.) must be eating them (inan.),2s→0p TI3 Independent Dubitative,you must be eating them (inan.)
kimiicinaawaa,you (pl.) eat it,2p→0s TI3 Independent Indicative,you eat it
kimiicinaawaan,you (pl.) eat them (inan.),2p→0p TI3 Independent Indicative,you eat them (inan.)
kimiicinaawaapan,you (pl.) ate it,2p→0s TI3 Independent Preterit,you ate it
kimiicinaawaapanen,you (pl.) ate them (inan.),2p→0p TI3 Independent Preterit,you ate them (inan.)
kimiicinaawaatok,you (pl.) must be eating it,2p→0s TI3 Independent Dubitative,you must be eating it
kimiicinaawaatokenan,you (pl.) must be eating them (inan.),2p→0p TI3 Independent Dubitative,you must be eating them (inan.)
kimiicinan,you (sg.) eat them (inan.),2s→0p TI3 Independent Indicative,you eat them (inan.)
kiwanittoomin,"we (incl.) lose it, them (inan.)",21→0 TI2 Independent Indicative,"we lose it, them (inan.)"
kiwanittoomin,"we (incl.) lose it, them (inan.)",21→0 TI2 Independent Indicative,"we lose it, them (inan.)"
kiwanittoominaapan,we (incl.) lost it,21→0s TI2 Independent Preterit,we lost it
kiwanittoominaapanen,we (incl.) lost them (inan.),21→0p TI2 Independent Preterit,we lost them (inan.)
kiwanittoominaatok,we (incl.) must be losing it,21→0s TI2 Independent Dubitative,we must be losing it
kiwanittoominaatokenan,we (incl.) must be losing them (inan.),21→0p TI2 Independent Dubitative,we must be losing them (inan.)
kiwanittoon,you (sg.) lose it,2s→0s TI2 Independent Indicative,you lose it
kiwanittoonaapan,you (sg.) lost it,2s→0s TI2 Independent Preterit,you lost it
kiwanittoonaapanen,you (sg.) lost them (inan.),2s→0p TI2 Independent Preterit,you lost them (inan.)
kiwanittoonaatok,you (sg.) must be losing it,2s→0s TI2 Independent Dubitative,you must be losing it
kiwanittoonaatokenan,you (sg.) must be losing it,2s→0p TI2 Independent Dubitative,you must be losing it
kiwanittoonaawaa,you (pl.) lose it,2p→0s TI2 Independent Indicative,you lose it
kiwanittoonaawaan,you (pl.) lose them (inan.),2p→0p TI2 Independent Indicative,you lose them (inan.)
kiwanittoonaawaapan,you (pl.) lost it,2p→0s TI2 Independent Preterit,you lost it
kiwanittoonaawaapanen,you (pl.) lost them (inan.),2p→0p TI2 Independent Preterit,you lost them (inan.)
kiwanittoonaawaatok,you (pl.) must be losing it,2p→0s TI2 Independent Dubitative,you must be losing it
kiwanittoonaawaatokenan,you (pl.) must be losing them (inan.),2p→0p TI2 Independent Dubitative,you must be losing them (inan.)
kiwanittoonan,you (sg.) lose them (inan.),2s→0p TI2 Independent Indicative,you lose them (inan.)
kiwanittoossiimin,"we (incl.) do not lose it, them (inan.)",21→0 TI2 Independent Indicative,"we do not lose it, them (inan.)"
kiwanittoossiimin,"we (incl.) do not lose it, them (inan.)",21→0 TI2 Independent Indicative,"we do not lose it, them (inan.)"
kiwanittoosssiiminaapan,we (incl.) did not lose it,21→0s TI2 Independent Preterit,we did not lose it
kiwanittoossiiminaapanen,we (incl.) did not lose them (inan.),21→0p TI2 Independent Preterit,we did not lose them (inan.)
kiwanittoossiiminaatok,we (incl.) must not be losing it,21→0s TI2 Independent Dubitative,we must not be losing it
kiwanittoossiiminaatokenan,we (incl.) must not be losing them (inan.),21→0p TI2 Independent Dubitative,we must not be losing them (inan.)
kiwanittoossiin,you (sg.) do not lose it,2s→0s TI2 Independent Indicative,you do not lose it
kiwanittoossiinaapan,you (sg.) did not lose it,2s→0s TI2 Independent Preterit,you did not lose it
kiwanittoossiinaapanen,you (sg.) did not lose them (inan.),2s→0p TI2 Independent Preterit,you did not lose them (inan.)
kiwanittoossiinaatok,you (sg.) must not be losing it,2s→0s TI2 Independent Dubitative,you must not be losing it
kiwanittoossiinaatokenan,you (sg.) must not be losing them (inan.),2s→0p TI2 Independent Dubitative,you must not be losing them (inan.)
kiwanittoossiinaawaa,you (pl.) do not see it,2p→0s TI2 Independent Indicative,you do not see it
kiwanittoossiinaawaan,you (pl.) do not see them (inan.),2p→0p TI2 Independent Indicative,you do not see them (inan.)
kiwanittoossiinaawaapan,you (pl.) did not lose it,2p→0s TI2 Independent Preterit,you did not lose it
kiwanittoossiinaawaapanen,you (pl.) did not lose them (inan.),2p→0p TI2 Independent Preterit,you did not lose them (inan.)
kiwanittoossiinaawaatok,you (pl.) must not be losing it,2p→0s TI2 Independent Dubitative,you must not be losing it
kiwanittoossiinaawaatokenan,you (pl.) must not be losing them (inan.),2p→0p TI2 Independent Dubitative,you must not be losing them (inan.)
kiwanittoossiinan,you (sg.) do not lose them (inan.),2s→0p TI2 Independent Indicative,you do not lose them (inan.)
kimaacaassiim,you (pl.) do not leave,2p AI Independent Indicative,you do not leave
kiniimissiim,you (pl.) do not dance,2p AI Independent Indicative,you do not dance
kiwaniššinsiim,you (pl.) are not lost,2p AI Independent Indicative,you are not lost
kimiicissiimin,"we (incl.) do not eat it, them (inan.)",21→0 TI3 Independent Indicative,"we do not eat it, them (inan.)"
kimiicissiimin,"we (incl.) do not eat it, them (inan.)",21→0 TI3 Independent Indicative,"we do not eat it, them (inan.)"
kimaacaamin,we (incl.) do not leave,21 AI Independent Indicative,we do not leave
kiniimissiimin,we (incl.) do not dance,21 AI Independent Indicative,we do not dance
kiwaniššinsiimin,we (incl.) are not lost,21 AI Independent Indicative,we are not lost
kimaacaassiiminaapan,we (incl.) did not leave,21 AI Independent Preterit,we did not leave
kiwaniššinsiiminaapan,we (incl.) were not lost,21 AI Independent Preterit,we were not lost
kimiicissiiminaatok,we (incl.) must not be eating it,21→0s TI3 Independent Dubitative,we must not be eating it
kimiicissiiminaatokenan,we (incl.) must not be eating them (inan.),21→0p TI3 Independent Dubitative,we must not be eating them (inan.)
kimaacaassiimwaapan,you (pl.) did not leave,2p AI Independent Preterit,you did not leave
kiwaniššinsiimwaapan,you (pl.) were not lost,2p AI Independent Preterit,you were not lost
kimiicissiin,you (sg.) do not eat it,2s→0s TI3 Independent Indicative,you do not eat it
kimaacaassiin,you (sg.) do not leave,2s AI Independent Indicative,you do not leave
kiniimissiin,you (sg.) do not dance,2s AI Independent Indicative,you do not dance
kiwaniššinsiin,you (sg.) are not lost,2s AI Independent Indicative,you are not lost
kimaacaassiinaapan,you (sg.) did not leave,2s AI Independent Preterit,you did not leave
kiwaniššinsiinaapan,you (sg.) were not lost,2s AI Independent Preterit,you were not lost
kimiicissiinaatokenan,you (sg.) must not be eating them (inan.),2s→0p TI3 Independent Dubitative,you must not be eating them (inan.)
kimiicissiinaawaa,you (pl.) do not eat it,2p→0s TI3 Independent Indicative,you do not eat it
kimiicissiinaawaan,you (pl.) do not eat them (inan.),2p→0p TI3 Independent Indicative,you do not eat them (inan.)
kimiicissiinaawaatok,you (pl.) must not be eating it,2p→0s TI3 Independent Dubitative,you must not be eating it
kimiicissiinaawaatokenan,you (pl.) must not be eating them (inan.),2p→0p TI3 Independent Dubitative,you must not be eating them (inan.)
kimiicissiinan,you (sg.) do not eat them (inan.),2s→0p TI3 Independent Indicative,you do not eat them (inan.)
kiwaapantaanaawaatokenan,you (pl.) must be seeing them (inan.),2p→0p TI1 Independent Dubitative,you must be seeing them (inan.)
kimiicissiinaatok,you (sg.) must not be eating it,2s→0s TI3 Independent Dubitative,you must not be eating it
nimaacaa,I leave,1s AI Independent Indicative,I leave
niniim,I dance,1s AI Independent Indicative,I dance
niwaniššin,I am lost,1s AI Independent Indicative,I am lost
niwaapamaa,I see him/her,1s→3s TA Independent Indicative,I see him/her
niwaapamaak,I see them (anim.),1s→3p TA Independent Indicative,I see them
niwaapantaamin,"we (excl.) see it, them (inan.)",1p→0 TI1 Independent Indicative,"we see it, them (inan.)"
niwaapantaamin,"we (excl.) see it, them (inan.)",1p→0 TI1 Independent Indicative,"we see it, them (inan.)"
niwaapantaaminaapan,we (excl.) saw it,1p→0s TI1 Independent Preterit,we saw it
niwaapantaaminaapanen,we (excl.) saw them (inan.),1p→0p TI1 Independent Preterit,we saw them (inan.)
niwaapantaaminaatok,we (excl.) must be seeing it,1p→0s TI1 Independent Dubitative,we must be seeing it
niwaapantaaminaatokenan,we (excl.) must be seeing them (inan.),1p→0p TI1 Independent Dubitative,we must be seeing them (inan.)
niwaapantaan,I see it,1s→0s TI1 Independent Indicative,I see it
niwaapamaanaan,we (excl.) see him/her,1p→3s TA Independent Indicative,we see him/her
niwaapamaanaanik,we (excl.) see them (anim.),1p→3p TA Independent Indicative,we see them (anim.)
niwaapantaanaapan,I saw it,1s→0s TI1 Independent Preterit,I saw it
niwaapamaanaapan,we (excl.) saw him/her,1p→3s TA Independent Preterit,we saw him/her
niwaapamaanaapanek,we (excl.) saw them (anim.),1p→3p TA Independent Preterit,we saw them (anim.)
niwaapantaanaapanen,I saw them (inan.),1s→0p TI1 Independent Preterit,I saw them
niwaapantaanaatok,I must be seeing it,1s→0s TI1 Independent Dubitative,I must be seeing it
niwaapamaanaatok,we (excl.) must be seeing him/her,1p→3s TA Independent Dubitative,we must be seeing him/her
